id,approved,reason_for_rejection,accepted_under_conditions
2428,True,[],['DTI ratio above preferred level of 36%.']
2429,True,[],[]
2430,False,"['DTI ratio too high: 97.81%.', 'FEDTI ratio above preferred level of 28%.']",[]
2431,False,"['DTI ratio too high: 57.08%.', 'FEDTI ratio above preferred level of 28%.']",[]
2432,False,"['DTI ratio too high: 94.38%.', 'FEDTI ratio above preferred level of 28%.']",[]
2433,True,[],[]
2434,False,"['DTI ratio too high: 69.08%.', 'FEDTI ratio above preferred level of 28%.']",[]
2435,True,[],[]
2436,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
2437,False,"['DTI ratio too high: 83.49%.', 'FEDTI ratio above preferred level of 28%.']",[]
2438,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2439,False,"['DTI ratio too high: 48.87%.', 'FEDTI ratio above preferred level of 28%.']",[]
2440,False,"['Credit score below 640.', 'FEDTI ratio above preferred level of 28%.']",[]
2441,False,"['Credit score below 640.', 'DTI ratio too high: 60.42%.', 'FEDTI ratio above preferred level of 28%.']",[]
2442,False,"['Credit score below 640.', 'DTI ratio too high: 57.51%.', 'FEDTI ratio above preferred level of 28%.']",[]
2443,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
2444,True,[],['DTI ratio above preferred level of 36%.']
2445,False,"['DTI ratio too high: 68.79%.', 'FEDTI ratio above preferred level of 28%.']",[]
2446,True,[],['DTI ratio above preferred level of 36%.']
2447,False,"['DTI ratio too high: 81.41%.', 'FEDTI ratio above preferred level of 28%.']",[]
2448,False,"['DTI ratio too high: 158.69%.', 'FEDTI ratio above preferred level of 28%.']",[]
2449,False,"['Credit score below 640.', 'DTI ratio too high: 78.36%.', 'FEDTI ratio above preferred level of 28%.']",[]
2450,False,"['Credit score below 640.', 'DTI ratio too high: 51.02%.', 'FEDTI ratio above preferred level of 28%.']",[]
2451,False,"['DTI ratio too high: 58.27%.', 'FEDTI ratio above preferred level of 28%.']",[]
2452,False,"['Credit score below 640.', 'DTI ratio too high: 52.09%.', 'FEDTI ratio above preferred level of 28%.']",[]
2453,False,"['Credit score below 640.', 'DTI ratio too high: 69.91%.', 'FEDTI ratio above preferred level of 28%.']",[]
2454,False,"['Credit score below 640.', 'DTI ratio too high: 61.20%.', 'FEDTI ratio above preferred level of 28%.']",[]
2455,False,['Credit score below 640.'],[]
2456,False,"['Credit score below 640.', 'DTI ratio too high: 61.45%.', 'FEDTI ratio above preferred level of 28%.']",[]
2457,True,[],[]
2458,False,"['Credit score below 640.', 'DTI ratio too high: 79.44%.', 'FEDTI ratio above preferred level of 28%.']",[]
2459,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2460,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
2461,False,"['DTI ratio too high: 80.06%.', 'FEDTI ratio above preferred level of 28%.']",[]
2462,False,"['Credit score below 640.', 'DTI ratio too high: 110.77%.', 'FEDTI ratio above preferred level of 28%.']",[]
2463,False,"['Credit score below 640.', 'DTI ratio too high: 49.14%.', 'FEDTI ratio above preferred level of 28%.']",[]
2464,True,[],[]
2465,False,"['Credit score below 640.', 'DTI ratio too high: 80.63%.', 'FEDTI ratio above preferred level of 28%.']",[]
2466,False,"['DTI ratio too high: 52.06%.', 'FEDTI ratio above preferred level of 28%.']",[]
2467,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
2468,False,"['Credit score below 640.', 'DTI ratio too high: 43.46%.', 'FEDTI ratio above preferred level of 28%.']",[]
2469,False,"['Credit score below 640.', 'DTI ratio too high: 52.53%.', 'FEDTI ratio above preferred level of 28%.']",[]
2470,False,"['DTI ratio too high: 109.62%.', 'FEDTI ratio above preferred level of 28%.']",[]
2471,False,"['DTI ratio too high: 68.07%.', 'FEDTI ratio above preferred level of 28%.']",[]
2472,False,"['Credit score below 640.', 'DTI ratio too high: 46.76%.', 'FEDTI ratio above preferred level of 28%.']",[]
2473,False,"['Credit score below 640.', 'DTI ratio too high: 72.66%.', 'FEDTI ratio above preferred level of 28%.']",[]
2474,False,"['Credit score below 640.', 'DTI ratio too high: 60.74%.', 'FEDTI ratio above preferred level of 28%.']",[]
2475,False,"['DTI ratio too high: 146.79%.', 'FEDTI ratio above preferred level of 28%.']",[]
2476,False,"['Credit score below 640.', 'DTI ratio too high: 89.08%.', 'FEDTI ratio above preferred level of 28%.']",[]
2477,True,[],['DTI ratio above preferred level of 36%.']
2478,False,"['Credit score below 640.', 'DTI ratio too high: 60.83%.', 'FEDTI ratio above preferred level of 28%.']",[]
2479,False,"['DTI ratio too high: 82.38%.', 'FEDTI ratio above preferred level of 28%.']",[]
2480,False,"['DTI ratio too high: 44.29%.', 'FEDTI ratio above preferred level of 28%.']",[]
2481,False,"['DTI ratio too high: 50.23%.', 'FEDTI ratio above preferred level of 28%.']",[]
2482,False,"['Credit score below 640.', 'DTI ratio too high: 70.77%.', 'FEDTI ratio above preferred level of 28%.']",[]
2483,False,"['Credit score below 640.', 'DTI ratio too high: 63.67%.', 'FEDTI ratio above preferred level of 28%.']",[]
2484,False,"['DTI ratio too high: 58.28%.', 'FEDTI ratio above preferred level of 28%.']",[]
2485,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
2486,False,"['Credit score below 640.', 'DTI ratio too high: 192.31%.', 'FEDTI ratio above preferred level of 28%.']",[]
2487,True,[],[]
2488,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2489,False,"['Credit score below 640.', 'DTI ratio too high: 44.96%.', 'FEDTI ratio above preferred level of 28%.']",[]
2490,False,"['DTI ratio too high: 73.96%.', 'FEDTI ratio above preferred level of 28%.']",[]
2491,False,['Credit score below 640.'],[]
2492,False,['DTI ratio too high: 43.43%.'],[]
2493,False,"['DTI ratio too high: 63.78%.', 'FEDTI ratio above preferred level of 28%.']",[]
2494,False,"['DTI ratio too high: 67.56%.', 'FEDTI ratio above preferred level of 28%.']",[]
2495,False,"['DTI ratio too high: 88.66%.', 'FEDTI ratio above preferred level of 28%.']",[]
2496,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2497,True,[],['DTI ratio above preferred level of 36%.']
2498,False,"['Credit score below 640.', 'DTI ratio too high: 54.75%.', 'FEDTI ratio above preferred level of 28%.']",[]
2499,False,"['Credit score below 640.', 'DTI ratio too high: 72.56%.', 'FEDTI ratio above preferred level of 28%.']",[]
2500,True,[],['DTI ratio above preferred level of 36%.']
2501,False,"['DTI ratio too high: 93.18%.', 'FEDTI ratio above preferred level of 28%.']",[]
2502,False,"['Credit score below 640.', 'DTI ratio too high: 93.05%.', 'FEDTI ratio above preferred level of 28%.']",[]
2503,False,['Credit score below 640.'],[]
2504,False,"['Credit score below 640.', 'DTI ratio too high: 50.85%.', 'FEDTI ratio above preferred level of 28%.']",[]
2505,False,['FEDTI ratio above preferred level of 28%.'],[]
2506,False,"['DTI ratio too high: 73.24%.', 'FEDTI ratio above preferred level of 28%.']",[]
2507,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
2508,True,[],['DTI ratio above preferred level of 36%.']
2509,False,"['DTI ratio too high: 75.97%.', 'FEDTI ratio above preferred level of 28%.']",[]
2510,True,[],['DTI ratio above preferred level of 36%.']
2511,False,"['DTI ratio too high: 55.80%.', 'FEDTI ratio above preferred level of 28%.']",[]
2512,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2513,False,"['Credit score below 640.', 'DTI ratio too high: 50.31%.', 'FEDTI ratio above preferred level of 28%.']",[]
2514,False,"['Credit score below 640.', 'DTI ratio too high: 71.46%.', 'FEDTI ratio above preferred level of 28%.']",[]
2515,False,"['Credit score below 640.', 'DTI ratio too high: 77.08%.', 'FEDTI ratio above preferred level of 28%.']",[]
2516,False,['DTI ratio too high: 52.45%.'],[]
2517,False,"['Credit score below 640.', 'DTI ratio too high: 89.25%.', 'FEDTI ratio above preferred level of 28%.']",[]
2518,False,['Credit score below 640.'],[]
2519,False,"['DTI ratio too high: 74.02%.', 'FEDTI ratio above preferred level of 28%.']",[]
2520,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2521,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
2522,False,['Credit score below 640.'],[]
2523,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
2524,False,"['Credit score below 640.', 'DTI ratio too high: 55.43%.', 'FEDTI ratio above preferred level of 28%.']",[]
2525,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
2526,False,"['Credit score below 640.', 'DTI ratio too high: 73.93%.', 'FEDTI ratio above preferred level of 28%.']",[]
2527,True,[],[]
2528,False,"['DTI ratio too high: 88.20%.', 'FEDTI ratio above preferred level of 28%.']",[]
2529,False,['Credit score below 640.'],[]
2530,False,"['DTI ratio too high: 55.50%.', 'FEDTI ratio above preferred level of 28%.']",[]
2531,False,['Credit score below 640.'],[]
2532,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2533,False,"['Credit score below 640.', 'FEDTI ratio above preferred level of 28%.']",[]
2534,False,['DTI ratio too high: 52.45%.'],[]
2535,False,"['Credit score below 640.', 'DTI ratio too high: 119.56%.', 'FEDTI ratio above preferred level of 28%.']",[]
2536,False,"['DTI ratio too high: 56.83%.', 'FEDTI ratio above preferred level of 28%.']",[]
2537,False,"['DTI ratio too high: 82.71%.', 'FEDTI ratio above preferred level of 28%.']",[]
2538,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
2539,False,"['DTI ratio too high: 89.52%.', 'FEDTI ratio above preferred level of 28%.']",[]
2540,True,[],[]
2541,False,"['Credit score below 640.', 'DTI ratio too high: 133.40%.', 'FEDTI ratio above preferred level of 28%.']",[]
2542,False,['Credit score below 640.'],[]
2543,False,"['Credit score below 640.', 'DTI ratio too high: 46.47%.', 'FEDTI ratio above preferred level of 28%.']",[]
2544,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
2545,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2546,False,"['DTI ratio too high: 51.45%.', 'FEDTI ratio above preferred level of 28%.']",[]
2547,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
2548,False,"['DTI ratio too high: 60.04%.', 'FEDTI ratio above preferred level of 28%.']",[]
2549,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
2550,True,[],[]
2551,False,"['Credit score below 640.', 'DTI ratio too high: 75.15%.', 'FEDTI ratio above preferred level of 28%.']",[]
2552,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2553,False,"['Credit score below 640.', 'DTI ratio too high: 117.26%.', 'FEDTI ratio above preferred level of 28%.']",[]
2554,False,"['Credit score below 640.', 'DTI ratio too high: 159.12%.', 'FEDTI ratio above preferred level of 28%.']",[]
2555,False,['Credit score below 640.'],[]
2556,False,"['Credit score below 640.', 'DTI ratio too high: 55.21%.', 'FEDTI ratio above preferred level of 28%.']",[]
2557,False,['DTI ratio too high: 44.68%.'],[]
2558,False,"['Credit score below 640.', 'DTI ratio too high: 71.35%.', 'FEDTI ratio above preferred level of 28%.']",[]
2559,True,[],[]
2560,False,['Credit score below 640.'],[]
2561,False,"['Credit score below 640.', 'DTI ratio too high: 51.66%.', 'FEDTI ratio above preferred level of 28%.']",[]
2562,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2563,False,"['DTI ratio too high: 114.84%.', 'FEDTI ratio above preferred level of 28%.']",[]
2564,False,"['DTI ratio too high: 83.03%.', 'FEDTI ratio above preferred level of 28%.']",[]
2565,False,"['Credit score below 640.', 'DTI ratio too high: 45.21%.', 'FEDTI ratio above preferred level of 28%.']",[]
2566,False,"['DTI ratio too high: 94.72%.', 'FEDTI ratio above preferred level of 28%.']",[]
2567,True,[],['DTI ratio above preferred level of 36%.']
2568,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
2569,True,[],['DTI ratio above preferred level of 36%.']
2570,False,"['DTI ratio too high: 83.89%.', 'FEDTI ratio above preferred level of 28%.']",[]
2571,False,"['Credit score below 640.', 'DTI ratio too high: 56.64%.', 'FEDTI ratio above preferred level of 28%.']",[]
2572,False,"['DTI ratio too high: 77.07%.', 'FEDTI ratio above preferred level of 28%.']",[]
2573,True,[],['DTI ratio above preferred level of 36%.']
2574,False,"['Credit score below 640.', 'DTI ratio too high: 51.52%.', 'FEDTI ratio above preferred level of 28%.']",[]
2575,False,"['DTI ratio too high: 50.53%.', 'FEDTI ratio above preferred level of 28%.']",[]
2576,False,['DTI ratio too high: 46.12%.'],[]
2577,False,"['DTI ratio too high: 65.27%.', 'FEDTI ratio above preferred level of 28%.']",[]
2578,False,"['DTI ratio too high: 128.91%.', 'FEDTI ratio above preferred level of 28%.']",[]
2579,False,"['Credit score below 640.', 'DTI ratio too high: 48.71%.', 'FEDTI ratio above preferred level of 28%.']",[]
2580,False,['Credit score below 640.'],[]
2581,False,['Credit score below 640.'],[]
2582,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2583,False,"['DTI ratio too high: 54.60%.', 'FEDTI ratio above preferred level of 28%.']",[]
2584,False,"['DTI ratio too high: 68.53%.', 'FEDTI ratio above preferred level of 28%.']",[]
2585,False,"['Credit score below 640.', 'DTI ratio too high: 96.59%.', 'FEDTI ratio above preferred level of 28%.']",[]
2586,False,"['Credit score below 640.', 'DTI ratio too high: 96.99%.', 'FEDTI ratio above preferred level of 28%.']",[]
2587,False,"['Credit score below 640.', 'DTI ratio too high: 145.74%.', 'FEDTI ratio above preferred level of 28%.']",[]
2588,False,"['DTI ratio too high: 61.21%.', 'FEDTI ratio above preferred level of 28%.']",[]
2589,False,"['DTI ratio too high: 87.31%.', 'FEDTI ratio above preferred level of 28%.']",[]
2590,False,"['DTI ratio too high: 108.39%.', 'FEDTI ratio above preferred level of 28%.']",[]
2591,False,"['Credit score below 640.', 'DTI ratio too high: 105.87%.', 'FEDTI ratio above preferred level of 28%.']",[]
2592,False,"['Credit score below 640.', 'DTI ratio too high: 149.49%.', 'FEDTI ratio above preferred level of 28%.']",[]
2593,False,"['Credit score below 640.', 'DTI ratio too high: 78.56%.', 'FEDTI ratio above preferred level of 28%.']",[]
2594,True,[],[]
2595,False,"['Credit score below 640.', 'DTI ratio too high: 93.90%.', 'FEDTI ratio above preferred level of 28%.']",[]
2596,False,"['Credit score below 640.', 'DTI ratio too high: 76.06%.', 'FEDTI ratio above preferred level of 28%.']",[]
2597,True,[],['DTI ratio above preferred level of 36%.']
2598,False,"['Credit score below 640.', 'DTI ratio too high: 93.88%.', 'FEDTI ratio above preferred level of 28%.']",[]
2599,False,['Credit score below 640.'],[]
2600,False,"['DTI ratio too high: 115.58%.', 'FEDTI ratio above preferred level of 28%.']",[]
2601,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
2602,False,"['Credit score below 640.', 'DTI ratio too high: 46.37%.', 'FEDTI ratio above preferred level of 28%.']",[]
2603,False,['DTI ratio too high: 51.88%.'],[]
2604,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2605,False,"['DTI ratio too high: 57.99%.', 'FEDTI ratio above preferred level of 28%.']",[]
2606,False,['Credit score below 640.'],[]
2607,False,['Credit score below 640.'],[]
2608,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
2609,False,"['DTI ratio too high: 68.25%.', 'FEDTI ratio above preferred level of 28%.']",[]
2610,False,"['Credit score below 640.', 'FEDTI ratio above preferred level of 28%.']",[]
2611,False,['DTI ratio too high: 43.25%.'],[]
2612,False,"['Credit score below 640.', 'DTI ratio too high: 56.23%.', 'FEDTI ratio above preferred level of 28%.']",[]
2613,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2614,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
2615,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
2616,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2617,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2618,False,"['Credit score below 640.', 'FEDTI ratio above preferred level of 28%.']",[]
2619,False,"['DTI ratio too high: 113.41%.', 'FEDTI ratio above preferred level of 28%.']",[]
2620,False,"['Credit score below 640.', 'DTI ratio too high: 65.14%.', 'FEDTI ratio above preferred level of 28%.']",[]
2621,False,['Credit score below 640.'],[]
2622,True,[],[]
2623,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2624,False,['Credit score below 640.'],[]
2625,False,"['Credit score below 640.', 'DTI ratio too high: 70.71%.', 'FEDTI ratio above preferred level of 28%.']",[]
2626,False,"['Credit score below 640.', 'DTI ratio too high: 54.26%.', 'FEDTI ratio above preferred level of 28%.']",[]
2627,False,"['DTI ratio too high: 57.57%.', 'FEDTI ratio above preferred level of 28%.']",[]
2628,True,[],[]
2629,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2630,False,['Credit score below 640.'],[]
2631,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2632,False,"['DTI ratio too high: 53.88%.', 'FEDTI ratio above preferred level of 28%.']",[]
2633,True,[],[]
2634,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2635,False,['DTI ratio too high: 47.33%.'],[]
2636,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2637,False,"['DTI ratio too high: 104.45%.', 'FEDTI ratio above preferred level of 28%.']",[]
2638,False,['Credit score below 640.'],[]
2639,False,"['Credit score below 640.', 'DTI ratio too high: 94.68%.', 'FEDTI ratio above preferred level of 28%.']",[]
2640,False,"['DTI ratio too high: 67.08%.', 'FEDTI ratio above preferred level of 28%.']",[]
2641,False,"['DTI ratio too high: 145.98%.', 'FEDTI ratio above preferred level of 28%.']",[]
2642,False,"['Credit score below 640.', 'DTI ratio too high: 71.78%.', 'FEDTI ratio above preferred level of 28%.']",[]
2643,True,[],[]
2644,False,"['Credit score below 640.', 'DTI ratio too high: 46.35%.', 'FEDTI ratio above preferred level of 28%.']",[]
2645,False,['Credit score below 640.'],[]
2646,True,[],[]
2647,False,"['DTI ratio too high: 75.69%.', 'FEDTI ratio above preferred level of 28%.']",[]
2648,False,"['Credit score below 640.', 'DTI ratio too high: 56.40%.', 'FEDTI ratio above preferred level of 28%.']",[]
2649,False,"['Credit score below 640.', 'DTI ratio too high: 78.99%.', 'FEDTI ratio above preferred level of 28%.']",[]
2650,True,[],[]
2651,False,"['DTI ratio too high: 72.04%.', 'FEDTI ratio above preferred level of 28%.']",[]
2652,False,"['Credit score below 640.', 'DTI ratio too high: 100.88%.', 'FEDTI ratio above preferred level of 28%.']",[]
2653,False,"['Credit score below 640.', 'DTI ratio too high: 47.34%.', 'FEDTI ratio above preferred level of 28%.']",[]
2654,False,"['DTI ratio too high: 73.06%.', 'FEDTI ratio above preferred level of 28%.']",[]
2655,False,['Credit score below 640.'],[]
2656,False,"['DTI ratio too high: 75.38%.', 'FEDTI ratio above preferred level of 28%.']",[]
2657,False,"['DTI ratio too high: 46.26%.', 'FEDTI ratio above preferred level of 28%.']",[]
2658,False,['Credit score below 640.'],[]
2659,False,['FEDTI ratio above preferred level of 28%.'],[]
2660,False,"['Credit score below 640.', 'DTI ratio too high: 43.63%.', 'FEDTI ratio above preferred level of 28%.']",[]
2661,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2662,False,"['Credit score below 640.', 'DTI ratio too high: 88.65%.', 'FEDTI ratio above preferred level of 28%.']",[]
2663,False,"['Credit score below 640.', 'DTI ratio too high: 49.20%.', 'FEDTI ratio above preferred level of 28%.']",[]
2664,False,"['Credit score below 640.', 'DTI ratio too high: 80.74%.', 'FEDTI ratio above preferred level of 28%.']",[]
2665,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2666,False,['Credit score below 640.'],[]
2667,False,"['Credit score below 640.', 'DTI ratio too high: 94.98%.', 'FEDTI ratio above preferred level of 28%.']",[]
2668,False,"['Credit score below 640.', 'DTI ratio too high: 76.08%.', 'FEDTI ratio above preferred level of 28%.']",[]
2669,False,"['DTI ratio too high: 62.11%.', 'FEDTI ratio above preferred level of 28%.']",[]
2670,False,"['DTI ratio too high: 82.61%.', 'FEDTI ratio above preferred level of 28%.']",[]
2671,False,"['DTI ratio too high: 62.98%.', 'FEDTI ratio above preferred level of 28%.']",[]
2672,True,[],[]
2673,False,['DTI ratio too high: 46.66%.'],[]
2674,False,"['Credit score below 640.', 'DTI ratio too high: 71.81%.', 'FEDTI ratio above preferred level of 28%.']",[]
2675,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2676,False,"['DTI ratio too high: 49.59%.', 'FEDTI ratio above preferred level of 28%.']",[]
2677,False,"['Credit score below 640.', 'DTI ratio too high: 44.01%.', 'FEDTI ratio above preferred level of 28%.']",[]
2678,False,"['DTI ratio too high: 79.30%.', 'FEDTI ratio above preferred level of 28%.']",[]
2679,False,"['DTI ratio too high: 51.09%.', 'FEDTI ratio above preferred level of 28%.']",[]
2680,False,"['Credit score below 640.', 'DTI ratio too high: 113.03%.', 'FEDTI ratio above preferred level of 28%.']",[]
2681,False,"['DTI ratio too high: 116.33%.', 'FEDTI ratio above preferred level of 28%.']",[]
2682,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2683,False,['Credit score below 640.'],[]
2684,False,"['DTI ratio too high: 44.10%.', 'FEDTI ratio above preferred level of 28%.']",[]
2685,False,"['DTI ratio too high: 56.07%.', 'FEDTI ratio above preferred level of 28%.']",[]
2686,False,"['Credit score below 640.', 'DTI ratio too high: 132.22%.', 'FEDTI ratio above preferred level of 28%.']",[]
2687,False,"['Credit score below 640.', 'DTI ratio too high: 96.32%.', 'FEDTI ratio above preferred level of 28%.']",[]
2688,False,"['DTI ratio too high: 51.18%.', 'FEDTI ratio above preferred level of 28%.']",[]
2689,False,"['Credit score below 640.', 'DTI ratio too high: 49.35%.', 'FEDTI ratio above preferred level of 28%.']",[]
2690,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2691,False,['Credit score below 640.'],[]
2692,False,['Credit score below 640.'],[]
2693,True,[],[]
2694,False,"['DTI ratio too high: 48.23%.', 'FEDTI ratio above preferred level of 28%.']",[]
2695,True,[],[]
2696,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2697,False,"['Credit score below 640.', 'DTI ratio too high: 48.38%.', 'FEDTI ratio above preferred level of 28%.']",[]
2698,False,['Credit score below 640.'],[]
2699,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
2700,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
2701,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
2702,False,"['DTI ratio too high: 98.78%.', 'FEDTI ratio above preferred level of 28%.']",[]
2703,True,[],[]
2704,False,"['Credit score below 640.', 'DTI ratio too high: 80.57%.', 'FEDTI ratio above preferred level of 28%.']",[]
2705,False,"['Credit score below 640.', 'FEDTI ratio above preferred level of 28%.']",[]
2706,False,['Credit score below 640.'],[]
2707,False,"['Credit score below 640.', 'DTI ratio too high: 56.86%.', 'FEDTI ratio above preferred level of 28%.']",[]
2708,True,[],[]
2709,False,"['Credit score below 640.', 'DTI ratio too high: 52.79%.', 'FEDTI ratio above preferred level of 28%.']",[]
2710,False,"['DTI ratio too high: 75.22%.', 'FEDTI ratio above preferred level of 28%.']",[]
2711,False,"['DTI ratio too high: 99.42%.', 'FEDTI ratio above preferred level of 28%.']",[]
2712,False,"['DTI ratio too high: 145.36%.', 'FEDTI ratio above preferred level of 28%.']",[]
2713,False,"['Credit score below 640.', 'DTI ratio too high: 62.48%.', 'FEDTI ratio above preferred level of 28%.']",[]
2714,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2715,False,"['DTI ratio too high: 76.54%.', 'FEDTI ratio above preferred level of 28%.']",[]
2716,False,"['DTI ratio too high: 53.56%.', 'FEDTI ratio above preferred level of 28%.']",[]
2717,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2718,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
2719,True,[],[]
2720,False,"['DTI ratio too high: 86.91%.', 'FEDTI ratio above preferred level of 28%.']",[]
2721,False,"['DTI ratio too high: 77.43%.', 'FEDTI ratio above preferred level of 28%.']",[]
2722,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2723,False,"['Credit score below 640.', 'DTI ratio too high: 141.54%.', 'FEDTI ratio above preferred level of 28%.']",[]
2724,False,"['Credit score below 640.', 'DTI ratio too high: 70.64%.', 'FEDTI ratio above preferred level of 28%.']",[]
2725,False,"['DTI ratio too high: 105.73%.', 'FEDTI ratio above preferred level of 28%.']",[]
2726,False,"['DTI ratio too high: 56.42%.', 'FEDTI ratio above preferred level of 28%.']",[]
2727,False,"['DTI ratio too high: 79.51%.', 'FEDTI ratio above preferred level of 28%.']",[]
2728,False,"['Credit score below 640.', 'DTI ratio too high: 45.36%.', 'FEDTI ratio above preferred level of 28%.']",[]
2729,True,[],[]
2730,False,"['DTI ratio too high: 73.98%.', 'FEDTI ratio above preferred level of 28%.']",[]
2731,False,"['Credit score below 640.', 'DTI ratio too high: 47.17%.', 'FEDTI ratio above preferred level of 28%.']",[]
2732,False,"['DTI ratio too high: 43.76%.', 'FEDTI ratio above preferred level of 28%.']",[]
2733,False,['Credit score below 640.'],[]
2734,False,"['DTI ratio too high: 50.01%.', 'FEDTI ratio above preferred level of 28%.']",[]
2735,False,"['DTI ratio too high: 52.71%.', 'FEDTI ratio above preferred level of 28%.']",[]
2736,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2737,False,"['DTI ratio too high: 67.68%.', 'FEDTI ratio above preferred level of 28%.']",[]
2738,False,"['Credit score below 640.', 'DTI ratio too high: 55.68%.', 'FEDTI ratio above preferred level of 28%.']",[]
2739,False,"['DTI ratio too high: 71.81%.', 'FEDTI ratio above preferred level of 28%.']",[]
2740,False,"['Credit score below 640.', 'DTI ratio too high: 100.95%.', 'FEDTI ratio above preferred level of 28%.']",[]
2741,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
2742,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2743,False,"['DTI ratio too high: 50.69%.', 'FEDTI ratio above preferred level of 28%.']",[]
2744,False,"['Credit score below 640.', 'DTI ratio too high: 92.17%.', 'FEDTI ratio above preferred level of 28%.']",[]
2745,True,[],[]
2746,False,"['Credit score below 640.', 'DTI ratio too high: 83.09%.', 'FEDTI ratio above preferred level of 28%.']",[]
2747,False,"['DTI ratio too high: 81.04%.', 'FEDTI ratio above preferred level of 28%.']",[]
2748,False,['DTI ratio too high: 51.47%.'],[]
2749,False,['Credit score below 640.'],[]
2750,False,"['Credit score below 640.', 'DTI ratio too high: 115.30%.', 'FEDTI ratio above preferred level of 28%.']",[]
2751,True,[],['PMI required due to LTV ratio between 80% and 95%.']
2752,True,[],['DTI ratio above preferred level of 36%.']
2753,True,[],"['DTI ratio above preferred level of 36%.', 'PMI required due to LTV ratio between 80% and 95%.']"
2754,False,['Credit score below 640.'],[]
2755,False,"['DTI ratio too high: 61.25%.', 'FEDTI ratio above preferred level of 28%.']",[]
2756,False,"['Credit score below 640.', 'DTI ratio too high: 54.45%.', 'FEDTI ratio above preferred level of 28%.']",[]
